,Description,Male,Female
0,    No schooling completed,"113,445","134,802"
1,    Nursery to 4th grade,"52,296","69,267"
2,    5th and 6th grade,"121,737","131,299"
3,    7th and 8th grade,"128,782","142,763"
4,    9th grade,"105,663","102,369"
5,    10th grade,"126,278","122,426"
6,    11th grade,"136,007","144,798"
7,"    12th grade, no diploma","150,151","148,034"
8,    High school graduate (includes equivalency),"1,736,806","1,852,088"
9,"    Some college, less than 1 year","299,187","318,471"
10,"    Some college, 1 or more years, no degree","766,501","792,150"
11,    Associate's degree,"487,885","656,466"
12,    Bachelor's degree,"1,250,857","1,353,220"
13,    Master's degree,"571,912","861,384"
14,    Professional school degree,"207,025","158,629"
15,    Doctorate degree,"109,907","83,190"
