FileName,TableName,ColumnName,Type,Description
analyze-bechdel.R,,,file,
movies.csv,,,file,
movies.csv,movies,,table,
movies.csv,movies,year,column,
movies.csv,movies,imdb,column,
movies.csv,movies,title,column,
movies.csv,movies,test,column,
movies.csv,movies,clean_test,column,
movies.csv,movies,binary,column,
movies.csv,movies,budget,column,
movies.csv,movies,domgross,column,
movies.csv,movies,intgross,column,
movies.csv,movies,code,column,
movies.csv,movies,budget_2013$,column,
movies.csv,movies,domgross_2013$,column,
movies.csv,movies,intgross_2013$,column,
movies.csv,movies,period code,column,
movies.csv,movies,decade code,column,
